iter	RMSE
227	496.918504
228	496.892403
229	496.8923817
230	496.8923617
231	496.8330953
232	496.8330775
233	496.8330608
234	496.79291
235	496.7020734
236	496.7020592
237	496.7020459
238	496.4468038
239	496.4201452
240	496.2652997
241	496.2578752
242	496.2578651
243	496.1795749
244	496.1795659
245	496.0588122
246	496.0042716
247	495.9136786
248	495.856785
249	495.423376
250	494.84892
251	494.4592471
252	494.4189594
253	494.2772429
254	494.2772372
255	494.2772319
256	494.2772268
257	494.2772221
258	494.2772177
259	494.2772135
260	494.1813882
261	494.1813844
262	493.8018449
263	493.8018414
264	493.6712958
265	493.6712927
266	493.647086
267	493.6470833
268	493.6468531
269	493.6468507
270	493.6468484
271	493.6468462
272	493.6077485
273	493.6077466
274	493.1091229
275	493.042502
276	492.9601167
277	492.9601149
278	492.8470764
279	492.788924
280	492.6374654
281	492.6374639
282	492.6133241
283	492.420921
284	492.4209198
285	492.4209186
286	492.4209175
287	492.3180549
288	492.318054
289	492.2216629
290	492.2110487
291	492.2110479
292	491.8338344
293	491.8225017
294	491.6862649
295	491.5509531
296	491.5509526
297	491.5142628
298	491.5135845
299	491.4343678
300	491.3620356
301	491.3154831
302	491.2928184
303	491.2000161
304	491.1993983
305	491.0878964
306	491.087896
307	490.9921898
308	490.9921895
309	490.9921892
310	490.9446853
311	490.944685
312	490.9446848
313	490.9377608
314	490.9295608
315	490.8979486
316	490.8265429
317	490.5640077
318	490.2162313
319	490.2033043
320	490.1735945
321	489.6819944
322	489.5802731
323	489.4438467
324	489.3788838
325	489.3355007
326	489.1040857
327	489.1034493
328	489.0729296
329	489.0654763
330	488.9949692
331	488.8144016
332	488.8071727
333	488.6804301
334	488.6549262
335	488.6543378
336	488.5434936
337	488.5269492
338	488.4464782
339	488.1837242
340	488.1831638
341	488.0469001
342	488.0332266
343	487.9559706
344	487.9308462
345	487.8810194
346	487.8569952
347	487.8364098
348	487.8203413
349	487.8201838
350	487.767566
351	487.7333483
352	487.5275007
353	487.5216198
354	487.24306
355	487.1926443
356	487.180076
357	487.134647
358	487.0865495
359	487.0765944
360	486.9794163
361	486.9494404
362	486.8677465
363	486.7815988
364	486.7811766
365	486.702172
366	486.7017659
367	486.6591657
368	486.6121243
369	486.551541
370	486.5412109
371	486.5342453
372	486.4986551
373	486.4862784
374	486.2039541
375	486.1774175
376	486.1762962
377	486.1613472
378	486.1485991
379	486.1372216
380	486.1351397
381	486.1288531
382	486.0839032
383	486.0187342
384	485.9570402
385	485.9191384
386	485.8565549
387	485.8005168
388	485.7759578
389	485.6481061
390	485.550282
391	485.5026795
392	485.4650388
393	485.4238813
394	485.4215886
395	485.313133
396	485.3012908
397	485.1788171
398	485.0119298
399	484.9273491
400	484.9058647
401	484.8468491
402	484.7540695
403	484.7173342
404	484.666559
405	484.6492606
406	484.6426951
407	484.6394133
408	484.6022854
409	484.5962362
410	484.5939989
411	484.1446513
412	484.1353732
413	484.0307914
414	483.8765499
415	483.872156
416	483.8253368
417	483.7518202
418	483.7088284
419	483.6214139
420	483.5203076
421	483.4806664
422	483.4746063
423	483.4722382
424	483.4641847
425	483.4425456
426	483.4367549
427	483.4163384
428	483.4078722
429	483.3873104
430	483.2930633
431	483.2835584
432	483.0731988
433	483.0174497
434	482.9745049
435	482.9304903
436	482.9296402
437	482.9259879
438	482.9193335
439	482.8173124
440	482.6192113
441	482.512076
442	482.4560845
443	482.4483249
444	482.4246347
445	482.2061624
446	482.203802
447	482.1988108
448	482.1607782
449	482.1125174
450	482.1074678
451	482.0866661
452	482.0853247
453	482.051777
454	482.0422922
455	482.0340578
456	482.0321917
457	482.0288665
458	481.9981139
459	481.9932554
460	481.9902688
461	481.9886344
462	481.9871697
463	481.9729463
464	481.9278131
465	481.924317
466	481.9165434
467	481.8624587
468	481.8598329
469	481.7240623
470	481.7183707
471	481.5647947
472	481.454408
473	481.4286246
474	481.4039806
475	481.3539103
476	481.3317924
477	481.0591569
478	480.8689432
479	480.8109287
480	480.806506
481	480.8040407
482	480.803113
483	480.3609827
484	480.3602248
485	480.357517
486	480.3570427
487	480.3516698
488	480.3262694
489	480.2898913
490	480.2548096
491	480.1191442
492	480.0953569
493	480.0725639
494	480.0691488
495	480.0630159
496	480.0427266
497	480.0281231
498	480.0206086
499	480.0146997
500	479.9659796
501	479.9641514
502	479.9629641
503	479.9611934
504	479.9540047
505	479.9495776
506	479.8581138
507	479.759831
508	479.7582005
509	479.7382417
510	479.6370476
511	479.6359681
512	479.6349358
513	479.6339486
514	479.6329191
515	479.5980622
516	479.5978299
517	479.5958563
518	479.5949414
519	479.594726
520	479.4837462
521	479.4655608
522	479.4646979
523	479.4399544
524	479.424625
525	479.4235944
526	479.4234194
527	479.4226054
528	479.3923572
529	479.3708258
530	479.366489
531	479.3630693
532	479.36225
533	479.3524054
534	479.3244486
535	479.3205428
536	479.3120252
537	479.3051664
538	479.2205514
539	479.1698744
540	479.1691242
541	479.1627256
542	479.0206734
543	479.0186477
544	478.9436137
545	478.9426366
546	478.7839772
547	478.7731659
548	478.7529069
549	478.7447226
550	478.7036299
551	478.6921703
552	478.6846997
553	478.6357273
554	478.5837498
555	478.4026777
556	478.3523139
557	478.2874611
558	478.2609442
559	478.1219342
560	478.1155315
561	478.0164713
562	477.8980934
563	477.8649493
564	477.8592616
565	477.8576136
566	477.8554475
567	477.8300995
568	477.8293847
569	477.8287572
570	477.5229086
571	477.508263
572	477.5067022
573	477.5063476
574	477.4504559
575	477.4016222
576	477.3947882
577	477.3938217
578	477.3604042
579	477.3551269
580	477.3276089
581	477.3269175
582	477.3059501
583	477.3029305
584	477.3026662
585	477.3024175
586	477.2975334
587	477.2829239
588	477.2826621
589	477.2802357
590	477.2644049
591	477.2560457
592	477.2542089
593	477.2388645
594	477.2386849
595	477.2385158
596	477.2383167
597	477.2316355
598	477.2259276
599	477.2220444
600	477.16536
601	477.1647903
602	477.1645447
603	477.162169
604	477.1596404
605	477.1546275
606	477.13191
607	477.130308
608	477.1301484
609	477.1052163
610	477.0818931
611	477.0813974
612	477.0554076
613	477.0131384
614	476.9349995
615	476.9083218
616	476.8817334
617	476.8808085
618	476.8792791
619	476.8031958
620	476.7887069
621	476.7719782
622	476.7675788
623	476.753127
624	476.7505262
625	476.750361
626	476.7354382
627	476.7352921
628	476.7328598
629	476.5407149
630	476.5402715
631	476.5393241
632	476.5387589
633	476.5179248
634	476.4976284
635	476.4974108
636	476.4967357
637	476.4965743
638	476.4826014
639	476.4825083
640	476.4660571
641	476.4439551
642	476.4438525
643	476.420592
644	476.4205825
645	476.4112771
646	476.4110269
647	476.410618
648	476.4092387
649	476.4089539
650	476.4062533
651	476.4061423
652	476.4005614
653	476.4004591
654	476.372473
655	476.366164
656	476.3410986
657	476.3407537
658	476.3347475
659	476.3301626
660	476.3254548
661	476.324899
662	476.3172814
663	476.2574165
664	476.2551798
665	476.2550687
666	476.254964
667	476.2290086
668	476.2273624
669	476.2272904
670	476.2240146
671	476.2051256
672	476.2018281
673	476.0281231
674	476.0251412
675	476.0250829
676	476.0248108
677	476.0134497
678	476.0131886
679	475.9952032
680	475.9348968
681	475.9348476
682	475.9345949
683	475.9343531
684	475.9294359
685	475.9291671
686	475.8938481
687	475.8914078
688	475.8909314
689	475.889958
690	475.7760599
691	475.7717519
692	475.7512797
693	475.6803659
694	475.6800162
695	475.6790129
696	475.6098663
697	475.6051677
698	475.5747976
699	475.5708772
700	475.4703821
701	475.4703187
702	475.4688257
703	475.4608405
704	475.4594175
705	475.4591886
706	475.4199954
707	475.4199495
708	475.4149585
709	475.4147162
710	475.3621407
711	475.356543
712	475.3536377
713	475.3447159
714	475.319989
715	475.3188722
716	475.312241
717	475.2973784
718	475.2969833
719	475.283095
720	475.1577769
721	475.1575762
722	475.1573844
723	475.1549704
724	475.1530853
725	475.1530624
726	475.1528967
727	475.1283786
728	474.9926171
729	474.9924599
730	474.9811303
731	474.9809865
732	474.9701241
733	474.9567853
734	474.9468379
735	474.943148
736	474.9422293
737	474.9414562
738	474.8200226
739	474.8199297
740	474.818528
741	474.8184963
742	474.8183943
743	474.8183074
744	474.8109862
745	474.8109016
746	474.8084104
747	474.7640328
748	474.7268684
749	474.7267562
750	474.7266304
751	474.7168061
752	474.6096823
753	474.6040016
754	474.6038841
755	474.5487798
756	474.546304
757	474.5048844
758	474.5047112
759	474.5042507
760	474.5010789
761	474.4888735
762	474.4858975
763	474.4849512
764	474.4848858
765	474.4841929
766	474.4839626
767	474.4814244
768	474.4682048
769	474.4679697
770	474.3510853
771	474.3230252
772	474.3219684
773	474.292865
774	474.2928031
775	474.2810492
776	474.2809814
777	474.232347
778	474.2305611
779	474.2144006
780	474.1826084
781	474.1808397
782	474.161665
783	474.1615894
784	474.109563
785	474.0926511
786	474.0899123
787	473.9150892
788	473.8946871
789	473.8946702
790	473.8747387
791	473.874558
792	473.8745207
793	473.8706401
794	473.870611
795	473.8697792
796	473.8690731
797	473.8664174
798	473.8592675
799	473.8592402
800	473.8501344
801	473.8501136
802	473.8332193
803	473.8318541
804	473.8258608
805	473.8252252
806	473.8251962
807	473.8251536
808	473.8246968
809	473.8246088
810	473.8245288
811	473.8245062
812	473.821538
813	473.8215164
814	473.8189801
815	473.8178811
816	473.8174048
817	473.8130756
818	473.8130157
819	473.8119489
820	473.7535444
821	473.7535197
822	473.7534926
823	473.7360868
824	473.7360659
825	473.7219359
826	473.6889693
827	473.6789259
828	473.4550147
829	473.4243239
830	473.4242472
831	473.3673229
832	473.3672792
833	473.3294379
834	473.3131592
835	473.3124325
836	473.2879099
837	473.2510219
838	473.2509505
839	473.2485018
840	473.2484647
841	473.2484499
842	473.248385
843	473.2483504
844	473.221276
845	473.2212251
846	473.2211229
847	473.2210584
848	473.2128672
849	473.1273913
850	473.1258481
851	473.1241545
852	473.1241067
853	473.1240686
854	473.1240394
855	473.1240032
856	473.1092634
857	473.1076554
858	473.0905583
859	473.0780022
860	473.0779557
861	473.0770553
862	473.075574
863	473.0509583
864	473.0465848
865	473.0465411
866	473.0465031
867	473.0311899
868	473.0310599
869	473.0304323
870	473.0246609
871	473.0246354
872	473.0242635
873	473.0143703
874	473.0143399
875	473.0039978
876	472.9995345
877	472.9955913
878	472.9908358
879	472.9597669
880	472.953133
881	472.9502804
882	472.9406249
883	472.9368573
884	472.9337753
885	472.9327053
886	472.8606177
887	472.8571719
888	472.7910508
889	472.7878762
890	472.78165
891	472.7268486
892	472.6603412
893	472.6598152
894	472.6597616
895	472.6597538
896	472.6501894
897	472.6491559
898	472.6491366
899	472.6434957
900	472.639294
901	472.6392489
902	472.6392174
903	472.6356026
904	472.5903622
905	472.5884691
906	472.5884597
907	472.5884251
908	472.5411359
909	472.5410797
910	472.541071
911	472.5377067
912	472.5313662
913	472.5313285
914	472.5312789
915	472.5312466
916	472.5094067
917	472.4812159
918	472.4681025
919	472.4680469
920	472.4679942
921	472.4663431
922	472.4662817
923	472.465344
924	472.4651746
925	472.3873783
926	472.3854817
927	472.3626426
928	472.3614828
929	472.3614456
930	472.3556893
931	472.3556555
932	472.3556493
933	472.2869205
934	472.2868521
935	472.2868263
936	472.286802
937	472.2867682
938	472.2867468
939	472.2861362
940	472.2860597
941	472.2726841
942	472.2699394
943	472.2699104
944	472.2036153
945	472.177419
946	472.1738682
947	472.1738369
948	472.1672459
949	472.1653078
950	472.1652094
951	472.1635062
952	472.1632855
953	472.1621179
954	472.1616353
955	472.1597145
956	472.1584109
957	472.1565933
958	472.1543134
959	472.1330193
960	472.1297808
961	472.1297203
962	472.1297069
963	472.1296927
964	472.0683837
965	472.0683676
966	472.0674865
967	472.0674865
968	472.0659031
969	472.033889
970	472.0334706
971	471.9947787
972	471.9947745
973	471.9933127
974	471.99266
975	471.9926425
976	471.9873519
977	471.9589359
978	471.9588812
979	471.957557
980	471.9563152
981	471.9175501
982	471.8657513
983	471.8657255
984	471.8657176
985	471.86571
986	471.8656837
987	471.8503798
988	471.8240042
989	471.8208006
990	471.8203055
991	471.8197825
992	471.739303
993	471.6914009
994	471.6913616
995	471.6913279
996	471.6877689
997	471.6712682
998	471.6696376
999	471.6580297
